Date,Price,Open,High,Low,Vol.,Change %
2025-04-11,"7,964.18","7,913.25","8,000.78","7,862.72",1170000000.0,0.64%
2025-04-10,"7,913.25","7,679.48","8,166.53","7,679.48",1430000000.0,3.04%
2025-04-09,"7,679.48","7,910.53","7,910.53","7,599.56",1350000000.0,-2.92%
2025-04-08,"7,910.53","7,702.08","7,984.19","7,702.08",1340000000.0,2.71%
2025-04-07,"7,702.08","8,054.98","8,054.98","7,544.83",2000000000.0,-4.38%
2025-04-04,"8,054.98","8,474.74","8,474.74","8,023.45",1570000000.0,-4.95%
2025-04-03,"8,474.74","8,608.48","8,608.48","8,453.22",1400000000.0,-1.55%
2025-04-02,"8,608.48","8,634.80","8,634.80","8,548.32",600630000.0,-0.30%
2025-04-01,"8,634.80","8,582.81","8,671.91","8,581.91",682390000.0,0.61%
2025-03-31,"8,582.81","8,658.85","8,658.88","8,530.98",923240000.0,-0.88%
2025-03-28,"8,658.85","8,666.12","8,694.19","8,636.92",746960000.0,-0.08%
2025-03-27,"8,666.12","8,689.59","8,689.70","8,611.42",702850000.0,-0.27%
2025-03-26,"8,689.59","8,663.80","8,714.81","8,656.39",703010000.0,0.30%
2025-03-25,"8,663.80","8,638.01","8,717.03","8,638.01",1020000000.0,0.30%
2025-03-24,"8,638.01","8,646.79","8,695.60","8,616.42",616030000.0,-0.10%
2025-03-21,"8,646.79","8,701.99","8,701.99","8,615.96",1910000000.0,-0.63%
2025-03-20,"8,701.99","8,706.66","8,742.75","8,665.26",886650000.0,-0.05%
2025-03-19,"8,706.66","8,705.23","8,718.74","8,662.56",823550000.0,0.02%
2025-03-18,"8,705.23","8,680.29","8,726.95","8,680.29",1110000000.0,0.29%
2025-03-17,"8,680.29","8,632.33","8,688.41","8,625.04",842700000.0,0.56%
2025-03-14,"8,632.33","8,542.56","8,642.79","8,538.07",750190000.0,1.05%
2025-03-13,"8,542.56","8,540.97","8,581.57","8,513.65",767960000.0,0.02%
2025-03-12,"8,540.97","8,495.99","8,565.45","8,495.99",974800000.0,0.53%
2025-03-11,"8,495.99","8,600.22","8,603.93","8,481.11",1040000000.0,-1.21%
2025-03-10,"8,600.22","8,679.88","8,700.79","8,591.58",1520000000.0,-0.92%
2025-03-07,"8,679.88","8,682.84","8,701.31","8,627.30",900630000.0,-0.03%
2025-03-06,"8,682.84","8,755.84","8,778.19","8,645.84",1030000000.0,-0.83%
2025-03-05,"8,755.84","8,759.00","8,835.72","8,752.46",1240000000.0,-0.04%
2025-03-04,"8,759.00","8,871.31","8,873.67","8,746.01",1070000000.0000001,-1.27%
2025-03-03,"8,871.31","8,809.74","8,908.82","8,809.74",1230000000.0,0.70%
2025-02-28,"8,809.74","8,756.21","8,810.50","8,715.43",2220000000.0,0.61%
2025-02-27,"8,756.21","8,731.46","8,768.05","8,680.55",1170000000.0,0.28%
2025-02-26,"8,731.46","8,668.67","8,738.28","8,668.67",981870000.0,0.72%
2025-02-25,"8,668.67","8,658.98","8,712.17","8,628.11",878150000.0,0.11%
2025-02-24,"8,658.98","8,659.37","8,688.26","8,614.08",792020000.0,0.00%
2025-02-21,"8,659.37","8,662.97","8,684.78","8,638.63",986560000.0,-0.04%
2025-02-20,"8,662.97","8,712.53","8,712.66","8,650.80",1280000000.0,-0.57%
2025-02-19,"8,712.53","8,766.73","8,771.22","8,696.94",763330000.0,-0.62%
2025-02-18,"8,766.73","8,768.01","8,787.66","8,757.82",659920000.0,-0.01%
2025-02-17,"8,768.01","8,732.46","8,769.07","8,725.27",628960000.0,0.41%
2025-02-14,"8,732.46","8,764.72","8,767.73","8,717.54",893550000.0,-0.37%
2025-02-13,"8,764.72","8,807.44","8,820.93","8,729.57",846520000.0,-0.49%
2025-02-12,"8,807.44","8,777.39","8,810.62","8,759.38",841920000.0,0.34%
2025-02-11,"8,777.39","8,767.80","8,789.58","8,750.53",875630000.0,0.11%
2025-02-10,"8,767.80","8,700.53","8,785.85","8,694.55",832110000.0,0.77%
2025-02-07,"8,700.53","8,727.28","8,728.94","8,685.78",992470000.0,-0.31%
2025-02-06,"8,727.28","8,623.29","8,767.50","8,623.29",871960000.0,1.21%
2025-02-05,"8,623.29","8,570.77","8,623.29","8,550.24",787610000.0,0.61%
2025-02-04,"8,570.77","8,583.56","8,583.59","8,524.66",1130000000.0,-0.15%
2025-02-03,"8,583.56","8,673.96","8,673.96","8,520.20",774950000.0,-1.04%
2025-01-31,"8,673.96","8,646.88","8,692.84","8,646.88",1130000000.0,0.31%
2025-01-30,"8,646.88","8,557.81","8,655.19","8,547.86",641230000.0,1.04%
2025-01-29,"8,557.81","8,533.87","8,584.07","8,518.27",769550000.0,0.28%
2025-01-28,"8,533.87","8,503.71","8,572.96","8,503.62",703540000.0,0.35%
2025-01-27,"8,503.71","8,502.35","8,514.17","8,462.18",684090000.0,0.02%
2025-01-24,"8,502.35","8,565.20","8,586.68","8,492.73",699390000.0,-0.73%
2025-01-23,"8,565.20","8,545.13","8,572.51","8,532.07",1030000000.0,0.23%
2025-01-22,"8,545.13","8,548.29","8,584.73","8,527.79",992840000.0,-0.04%
2025-01-21,"8,548.29","8,520.54","8,550.41","8,513.42",761210000.0,0.33%
2025-01-20,"8,520.54","8,505.22","8,548.59","8,501.82",718320000.0,0.18%
2025-01-17,"8,505.22","8,391.90","8,533.43","8,391.83",1070000000.0000001,1.35%
2025-01-16,"8,391.90","8,301.13","8,391.90","8,301.13",748670000.0,1.09%
2025-01-15,"8,301.13","8,201.54","8,307.56","8,199.57",1020000000.0,1.21%
2025-01-14,"8,201.54","8,224.19","8,244.31","8,193.54",946040000.0,-0.28%
2025-01-13,"8,224.19","8,248.49","8,254.00","8,192.31",895890000.0,-0.29%
2025-01-10,"8,248.49","8,319.69","8,326.32","8,247.61",912290000.0,-0.86%
2025-01-09,"8,319.69","8,251.03","8,322.59","8,243.15",822700000.0,0.83%
2025-01-08,"8,251.03","8,245.28","8,267.38","8,189.50",899620000.0,0.07%
2025-01-07,"8,245.28","8,249.66","8,251.79","8,190.50",741250000.0,-0.05%
2025-01-06,"8,249.66","8,223.98","8,249.66","8,197.50",765870000.0,0.31%
2025-01-03,"8,223.98","8,260.09","8,268.97","8,219.73",697090000.0,-0.44%
2025-01-02,"8,260.09","8,173.02","8,270.60","8,160.60",422200000.0,1.07%
2025-01-01,"8,173.02","8,121.01","8,180.38","8,096.65",203360000.0,0.64%
2024-12-31,"8,173.02","8,121.01","8,180.38","8,096.65",203360000.0,0.64%
2024-12-30,"8,121.01","8,149.78","8,149.78","8,094.88",325040000.0,-0.35%
2024-12-27,"8,149.78","8,136.99","8,151.28","8,112.29",327260000.0,0.16%
2024-12-26,"8,136.99","8,102.72","8,152.01","8,102.72",243250000.0,0.42%
2024-12-25,"8,136.99","8,102.72","8,152.01","8,102.72",243250000.0,0.42%
2024-12-24,"8,136.99","8,102.72","8,152.01","8,102.72",243250000.0,0.42%
2024-12-23,"8,102.72","8,084.61","8,111.41","8,051.92",573770000.0,0.22%
2024-12-20,"8,084.61","8,105.32","8,105.83","8,002.34",1580000000.0,-0.26%
2024-12-19,"8,105.32","8,199.11","8,199.11","8,078.98",797750000.0,-1.14%
2024-12-18,"8,199.11","8,195.20","8,231.84","8,191.61",833580000.0,0.05%
2024-12-17,"8,195.20","8,262.05","8,262.05","8,190.17",1130000000.0,-0.81%
2024-12-16,"8,262.05","8,300.33","8,305.21","8,254.06",617610000.0,-0.46%
2024-12-13,"8,300.33","8,311.76","8,331.85","8,282.40",650040000.0,-0.14%
2024-12-12,"8,311.76","8,301.62","8,331.05","8,300.18",580490000.0,0.12%
2024-12-11,"8,301.62","8,280.36","8,318.88","8,248.42",1270000000.0,0.26%
2024-12-10,"8,280.36","8,352.08","8,352.13","8,274.50",605600000.0,-0.86%
2024-12-09,"8,352.08","8,308.61","8,372.05","8,308.61",726160000.0,0.52%
2024-12-06,"8,308.61","8,349.38","8,357.58","8,303.48",885400000.0,-0.49%
2024-12-05,"8,349.38","8,335.81","8,350.67","8,321.64",850090000.0,0.16%
2024-12-04,"8,335.81","8,359.41","8,362.75","8,322.84",748110000.0,-0.28%
2024-12-03,"8,359.41","8,312.89","8,388.37","8,311.85",813150000.0,0.56%
2024-12-02,"8,312.89","8,287.30","8,332.00","8,274.66",821540000.0,0.31%
